left_elbow,right_elbow,left_shoulder,right_shoulder,left_knee,right_knee,left_hip,right_hip,left_ankle,right_ankle,torso_left,torso_right,left_wrist,right_wrist,label
132.91103717562467,124.16481084794013,53.36141262343786,57.460696204552924,26.021248452410116,28.656214170810443,13.06254792675121,9.313132429958138,126.17683591101617,143.22461077786917,98.51797330266092,73.52369339125498,119.1158852825983,106.25840808925729,0
162.54070283752546,156.08148936264175,62.645256648949186,61.70445671275724,149.41496256573453,140.30395096741154,108.55151318195368,108.96842242125558,152.90488082870903,153.2196501557501,65.29550943053067,117.23611519623645,130.76866191842947,137.28576351953316,0
176.12512646441633,171.81101971270505,89.52769401464765,80.97164787768652,59.82974700499702,67.97224436628964,11.39438758869071,21.970453185852676,155.7627391170039,162.30701325920393,41.93993888164303,144.6735267271458,87.9618923663366,101.3244936246591,0
146.64449017314192,149.41829504487086,83.07436886242584,70.45878937920592,53.34368431408567,81.56622885225396,26.396373002761575,84.10578217467676,106.16508162486363,91.49728781811342,96.02128919704519,91.52621622551008,98.31357156669928,95.20706093459899,0
153.7179489628125,142.53307496028106,121.01524100644443,104.04812598264566,109.2649730601208,95.75840440554194,19.176662537198222,13.355598821426849,139.1573768146242,119.5322814561532,144.63714528252706,39.849174702416,155.24482857985024,145.26355309308013,0
41.69226323265541,75.43817851463905,50.351903575802346,39.64367201402905,134.81378955479758,88.8357327124761,110.3071742485531,137.0592513467826,159.02543073838618,137.5682786874484,60.019722903625,120.35861830360366,159.04107310919397,159.90676614235707,0
157.59902985740612,163.0802315533052,109.63913930439324,107.41115429697095,50.95437831494967,43.79749125425264,20.01010528159835,17.560917126591047,81.11499452995456,95.58561141910947,31.36299531253569,148.91073201786318,172.30807507021518,143.77902802472775,0
169.16664611949653,168.95092231485373,81.90439814904497,86.40693073425061,49.52565951281602,40.46501573569917,31.70892769983479,24.07386562596319,150.47974725233368,150.20431158503027,174.30343856992232,9.240961425855444,137.03575375073888,119.64879848580055,0
159.55160520070976,167.1411181470872,93.76213640284057,104.22551268694811,49.74852855368973,50.455153211638404,46.48919218265653,28.67170252059369,122.49404921754764,130.9064442414197,90.34681468568718,83.54354884357507,107.60775877984878,115.36927076035377,0
58.33354056026569,89.48314761722618,62.045122888747784,60.35697896666766,175.42494419845386,161.12839839502814,2.5179838691732948,18.246090043923182,175.32472957758742,178.16064417770193,135.96017073544417,50.60096479568984,174.86782567338324,149.15423946125728,0
157.16553238758823,153.52939425597455,92.89329327613189,84.31916467562988,52.96702776429791,55.46000808121308,24.109388172576693,27.53955988207981,152.82007364357298,153.06285314071303,10.193194303468646,165.5309011791946,111.78929725513255,108.27150456888819,0
155.33673341946874,158.96716413275058,48.62976271031309,57.571449419428525,52.76938224486225,50.55367830881989,46.68016326992436,35.8089673842168,98.4618220920047,139.69107643519425,128.9519677726361,43.683930080936996,119.85697027336352,111.65437306458219,0
132.27396260493566,150.3856360307288,71.9685632625783,81.49086299005462,48.97822132873334,52.12325961238061,20.19701409787026,20.94032527331027,92.4364790454114,125.02278325073536,109.34010254139973,73.28102060086026,110.27162510876002,138.43504997934,0
176.05061703140314,174.84991191663812,116.28539570633326,122.79419195489238,150.24064956099963,157.2249464518374,46.56667869670834,43.63524907381958,136.60045856110466,129.13409375742114,158.22987269184384,25.04722070709957,134.16198099749607,137.24663891102688,0
